year,state_fips,track_width_yards,injuries,fatalities,property_loss,track_width_yards,start_latitude,start_longitude,track_length_miles,severe
2000.0,8.0,440.0,0.0,0.0,50000.0,440.0,40.38,-104.25,8.0,False
1984.0,20.0,10.0,0.0,0.0,50000.0,10.0,37.7,-100.87,0.1,False
2013.0,8.0,75.0,0.0,0.0,50000.0,75.0,37.68,-106.01,0.1,False
2015.0,1.0,50.0,0.0,0.0,5000.0,50.0,31.3205,-85.5041,0.02,False
1965.0,46.0,10.0,0.0,0.0,50000.0,10.0,45.2,-100.3,0.1,False
2018.0,29.0,40.0,0.0,0.0,20000.0,40.0,37.01,-94.17,1.1,False
1989.0,48.0,447.0,0.0,0.0,50000.0,447.0,32.02,-94.42,6.0,False
2009.0,21.0,75.0,0.0,0.0,200000.0,75.0,36.7051,-88.3202,0.26,False
1984.0,49.0,10.0,0.0,0.0,50.0,10.0,40.17,-111.67,0.1,False
2002.0,20.0,75.0,0.0,0.0,50000.0,75.0,37.52,-99.72,2.2,False
1986.0,38.0,10.0,0.0,0.0,50000.0,10.0,47.5,-99.62,0.2,False
2015.0,38.0,100.0,0.0,0.0,50000.0,100.0,48.37,-97.24,2.0,False
2016.0,12.0,50.0,0.0,0.0,50000.0,50.0,26.0747,-80.3628,6.72,False
1995.0,8.0,10.0,0.0,0.0,50000.0,10.0,41.0,-103.05,1.5,False
2014.0,28.0,100.0,0.0,0.0,400000.0,100.0,31.455,-89.366,4.62,False
1974.0,48.0,67.0,0.0,1.0,50000.0,67.0,29.63,-94.37,9.6,True
1975.0,12.0,20.0,0.0,0.0,5000.0,20.0,27.45,-80.33,0.1,False
2010.0,46.0,30.0,0.0,0.0,50000.0,30.0,45.5,-99.16,0.19,False
1993.0,10.0,10.0,0.0,0.0,5000.0,10.0,38.92,-75.72,10.0,False
1986.0,26.0,400.0,0.0,0.0,500000.0,400.0,42.87,-83.8,5.6,False
2004.0,19.0,25.0,0.0,0.0,50000.0,25.0,41.82,-92.98,0.2,False
2019.0,19.0,25.0,0.0,0.0,50000.0,25.0,41.6882,-93.4278,1.59,False
2000.0,40.0,20.0,0.0,0.0,50000.0,20.0,36.85,-97.95,0.5,False
2022.0,13.0,25.0,0.0,0.0,50000.0,25.0,31.3122,-83.797,10.64,False
1959.0,31.0,10.0,0.0,0.0,5000.0,10.0,42.68,-99.65,0.1,False
1980.0,13.0,83.0,0.0,0.0,50000.0,83.0,31.85,-81.6,4.1,False
1997.0,19.0,10.0,0.0,0.0,50000.0,10.0,42.05,-90.32,0.1,False
1959.0,51.0,200.0,4.0,11.0,500000.0,200.0,38.05,-78.62,0.8,True
2008.0,56.0,10.0,0.0,0.0,50000.0,10.0,43.72,-105.87,0.02,False
2010.0,27.0,15.0,0.0,0.0,50000.0,15.0,46.48,-95.8478,0.36,False
1969.0,31.0,10.0,0.0,0.0,50000.0,10.0,40.38,-96.73,0.1,False
1963.0,40.0,10.0,0.0,0.0,50.0,10.0,36.73,-100.6,0.1,False
1973.0,39.0,67.0,0.0,0.0,5000.0,67.0,40.77,-84.48,0.1,False
2020.0,8.0,50.0,0.0,0.0,50000.0,50.0,40.8655,-102.2277,0.01,False
1992.0,26.0,20.0,0.0,0.0,50000.0,20.0,43.0,-84.87,0.1,False
1978.0,48.0,10.0,0.0,0.0,50000.0,10.0,34.18,-99.65,0.1,False
1990.0,29.0,50.0,0.0,0.0,50000.0,50.0,36.98,-93.28,0.2,False
2002.0,5.0,30.0,0.0,0.0,50000.0,30.0,33.62,-92.95,1.8,False
1971.0,29.0,50.0,12.0,0.0,5000000.0,50.0,39.72,-92.98,0.1,True
1959.0,48.0,10.0,0.0,0.0,50000.0,10.0,30.92,-102.9,0.1,False
2015.0,20.0,100.0,0.0,0.0,50000.0,100.0,38.8524,-100.689,5.67,False
1984.0,12.0,30.0,0.0,0.0,50000.0,30.0,27.22,-81.87,1.0,False
1978.0,27.0,100.0,0.0,0.0,50000.0,100.0,47.27,-93.15,1.0,False
1996.0,31.0,100.0,0.0,0.0,20000.0,100.0,41.72,-103.1,0.5,False
2000.0,38.0,20.0,0.0,0.0,50000.0,20.0,47.95,-97.5,0.5,False
2009.0,5.0,600.0,0.0,0.0,5112000.0,600.0,34.0628,-91.2735,33.37,False
1986.0,36.0,100.0,2.0,0.0,5000000.0,100.0,41.6,-74.47,0.5,True
2006.0,37.0,25.0,0.0,0.0,50000.0,25.0,35.82,-77.25,0.1,False
2020.0,45.0,400.0,0.0,0.0,50000.0,400.0,34.99,-83.055,3.97,False
1999.0,40.0,60.0,0.0,0.0,3000.0,60.0,35.4,-97.4,0.5,False
2019.0,18.0,30.0,0.0,0.0,3000.0,30.0,39.1322,-85.4821,0.05,False
1966.0,12.0,10.0,0.0,0.0,50000.0,10.0,29.48,-81.68,7.6,False
1995.0,20.0,50.0,0.0,0.0,50000.0,50.0,38.08,-101.43,0.2,False
1986.0,28.0,40.0,0.0,0.0,50000.0,40.0,33.17,-89.93,0.6,False
1997.0,8.0,50.0,0.0,0.0,50000.0,50.0,37.65,-105.92,0.5,False
2004.0,20.0,50.0,0.0,0.0,50000.0,50.0,38.82,-95.75,0.1,False
1998.0,17.0,30.0,0.0,0.0,50000.0,30.0,42.38,-89.97,0.1,False
1997.0,27.0,100.0,0.0,0.0,50000.0,100.0,44.4,-93.72,6.0,False
2015.0,17.0,25.0,0.0,0.0,50000.0,25.0,41.5337,-90.2518,0.1,False
1964.0,19.0,200.0,0.0,0.0,500000.0,200.0,41.6,-93.78,9.7,False
2019.0,20.0,50.0,0.0,0.0,50000.0,50.0,37.4181,-100.2255,1.54,False
2004.0,37.0,30.0,0.0,0.0,50000.0,30.0,35.23,-77.42,0.1,False
1958.0,18.0,10.0,0.0,0.0,50000.0,10.0,40.93,-87.15,0.1,False
1990.0,48.0,50.0,0.0,0.0,50000000.0,50.0,32.08,-98.47,4.0,False
1985.0,42.0,33.0,0.0,0.0,50000.0,33.0,41.72,-80.23,8.0,False
1953.0,42.0,67.0,2.0,0.0,50000.0,67.0,41.92,-79.63,2.0,True
1999.0,22.0,30.0,0.0,0.0,50000.0,30.0,31.75,-93.4,4.0,False
2000.0,45.0,20.0,0.0,0.0,50000.0,20.0,34.8,-81.53,1.0,False
1990.0,12.0,20.0,0.0,0.0,50.0,20.0,27.52,-82.53,1.0,False
2005.0,47.0,300.0,0.0,0.0,700000.0,300.0,35.97,-89.17,15.0,False
2011.0,27.0,300.0,0.0,0.0,250000.0,300.0,44.7979,-95.102,2.44,False
2003.0,46.0,100.0,0.0,0.0,200000.0,100.0,43.15,-96.87,3.5,False
2007.0,48.0,600.0,4.0,0.0,280000.0,600.0,35.13,-100.94,6.35,True
1972.0,54.0,70.0,0.0,0.0,5000.0,70.0,38.05,-82.17,20.9,False
1975.0,20.0,10.0,0.0,0.0,500000.0,10.0,38.0,-97.52,0.1,False
1982.0,48.0,10.0,0.0,0.0,50.0,10.0,35.47,-101.18,0.1,False
2018.0,22.0,75.0,0.0,0.0,5000.0,75.0,30.1758,-93.0467,0.98,False
